CARN� DE IDENTIDAD,Producto,Raci�n media Kcal,Vitamina A UI,Fibra mg,Calcio mg,Hierro mg
1,Brocoli,34,623,2.6,47,0.73
2,Cebolla,40,2,9.3,23,0.21
3,Esparrago,20,756,3.9,24,2.14
4,Lechuga,13,3312,2.2,35,1.24
5,Nopal,16,457,3.3,164,0.59
6,Fresa,32,12,7.7,16,0.41
7,Ciruela,41,914,11,7,0.16
8,Manzana,52,54,13.8,6,0.12
9,kiwi,61,87,14.7,34,0.31
10,Mango,60,1082,15,11,0.16
11,Atun,130,65,0,4,0.92
12,Camaron,85,0,0,64,0.52
13,Tocino,407,0,0.8,4,0.42
14,Carne de cerdo,898,37,0,1,0.13
15,Pavo,208,0,0,26,1.79
